boss_name,categories,series,notes,rarity,image
最強の奥義 超サイヤ人3孫悟空,復活戦士,,,UR,最強の奥義.png
破壊と殺戮の超戦士 伝説の超サイヤ人ブロリー,混血サイヤ人,,,UR,破壊と殺戮の超戦士.png
ナメック星編,ナメック星編,,,UR,ナメック星編.png
帝王の執念 フリーザ(フルパワー),ナメック星編,,,UR,帝王の執念.png
親子三大かめはめ波,劇場版BOSS,,,UR,親子三大かめはめ波.png
万物の凌駕 パーフェクトセル,未来編,,,UR,万物の凌駕.png
究極パワー放出 アルティメット孫悟飯,魔人ブウ編,,,UR,究極パワー放出.png
ナメック星人としての闘い ピッコロ,ナメック星人,,,UR,ナメック星人としての闘い.png
心なき破壊衝動 魔人ブウ(純粋),純粋サイヤ人,,,UR,心なき破壊衝動.png
振り下ろされた罰 ビルス,神次元,,,UR,振り下ろされた罰.png
戦闘民族の真価 超サイヤ人3ベジータ,超サイヤ人3,,,UR,戦闘民族の真価.png
地獄の羅刹鬼 スーパージャネンバ,フュージョン,,,UR,地獄の羅刹鬼.png
流刑のサイヤ人 ブロリー,劇場版HERO,,,UR,流刑のサイヤ人.png
絶対無敵の戦士 超ゴジータ,劇場版BOSS,,,UR,絶対無敵の戦士.png
勇気の覚醒 超サイヤ人孫悟空Jr.,ベジータの系譜,,,UR,勇気の覚醒.png
サイヤを継承する少年 超サイヤ人ベジータJr.,孫悟空の系譜,,,UR,サイヤを継承する少年.png
真の最強邪悪龍 超一星龍,,,,UR,真の最強邪悪龍.png
正義の死神大暴れ 超サイヤ人3ゴテンクス,少年・少女,,,UR,正義の死神大暴れ.png
親子ギャリック砲,神次元,,,UR,親子ギャリック砲.png
復讐の焔 ゴールデンフリーザ,最凶の一族,,,UR,復讐の焔.png
漆黒の脅威 ゴクウブラック,孫悟空の系譜,,,UR,漆黒の脅威.png
恐怖の嵐 フリーザ(第二形態),ナメック星人,,,UR,恐怖の嵐.png
絶望へのカウントダウン 魔人ブウ(アルティメット悟飯吸収,ポタラ,,,UR,絶望へのカウントダウン.png
終わりなき恐怖 伝説の超サイヤ人ブロリー,混血サイヤ人,,,UR,終わりなき恐怖.png
激闘編,ギニュー特戦隊,,,UR,激闘編.png
地獄へのいざない パーフェクトセル,未来編,,,UR,地獄へのいざない.png
恐怖の復活 パーフェクトセル,人造人間/セル編,,,UR,恐怖の復活.png
進化を遂げた一撃 超サイヤ人ゴッドSS孫悟空,第6宇宙,,,UR,進化を遂げた一撃.png
絶望のマイナスエネルギー 超一星龍,かめはめ波,,,UR,絶望のマイナスエネルギー.png
比類なき黄金の気 超ベジット,変身強化,,,UR,比類なき黄金の気.png
絶対神の憤怒 合体ザマス,好敵手,,,UR,絶対神の憤怒.png
宿命のライバル編,超サイヤ人2,,,UR,宿命のライバル編.png
極まりしブルーの力 超サイヤ人ゴッドSSベジット,時空を超えし者,,,UR,極まりしブルーの力.png
戦闘民族の熱き思い 超サイヤ人ゴッドSSベジータ,指定の絆,,,UR,戦闘民族の熱き思い.png
希望と願いの剣 超サイヤ人トランクス(未来),怒り爆発,,,UR,希望と願いの剣.png
薔薇色に染まる超サイヤ人 ゴクウブラック(超サイヤ人ロゼ),ベジータの系譜,,,UR,薔薇色に染まる超サイヤ人.png
第6宇宙の女戦士編,第7宇宙代表,,,UR,第6宇宙の女戦士編.png
伝説を超えた進化形態 超サイヤ人3ブロリー,兄弟の絆,,,UR,伝説を超えた進化形態.png
プライド・トルーパーズ,宇宙サバイバル編,,,UR,プライド・トルーパーズ.png
究極の人造人間 超17号,ドラゴンボールを求めし者,,,UR,究極の人造人間.png
全てを超える魔人 魔人ブウ(純粋),純粋サイヤ人,,,UR,全てを超える魔人.png
暗黒の仮面 仮面のサイヤ人,リベンジ,,,UR,暗黒の意思.png
悪を砕く光 超ゴジータ,劇場版BOSS,,,UR,悪を砕く光.png
邪悪な侵犯 スーパージャネンバ,フュージョン,,,UR,邪悪な侵犯.png
宿命のライバル編2,フルパワー,,,UR,宿命のライバル編2.png
"超次元の極意 孫悟空(身勝手の極意""兆"")",急激な成長,,,UR,超次元の極意.png
LR 奇跡の決着 孫悟空&フリーザ(最終形態)(天使),宇宙サバイバル編,,,LR,奇跡の決着.png
打倒超戦士編,人工生命体,,,UR,打倒超戦士編.png
宇宙一の大暴走 超サイヤ人3ゴテンクス,少年・少女,,,UR,宇宙一の大暴走.png
LR 不滅の最凶戦士 伝説の超サイヤ人ブロリー,混血サイヤ人,,,LR,不滅の最凶戦士.png
幻魔人が眠る身体 タピオン(ヒルデガーン),つながる希望,,,UR,幻魔人が眠る身体.png
宿命のライバル編3,人工生命体,,,UR,宿命のライバル編3.png
地獄の幕開け クウラ(最終形態),超サイヤ人,,,UR,地獄の幕開け.png
LR 全身全霊のかめはめ波 超サイヤ人2孫悟飯(少年期),人造人間/セル編,,,LR,全身全霊のかめはめ波.png
驚異の超変身 超サイヤ人3孫悟空(天使),魔人の力,,,UR,驚愕の超変身.png
凍てつく威光 フリーザ（第一形態),伝説の存在,,,UR,凍てつく威光.png
ヒロインコレクション編,ピチピチギャル,,,UR,ヒロインコレクション.png
LR 凄絶な光の彼方に 魔人ベジータ,超サイヤ人2,,,LR,凄絶な光の彼方に.png
熱く震える力 超サイヤ人孫悟空,永遠の宿敵,,,UR,熱く震える力.png
LR 宇宙に輝く命 バーダック,恐怖の征服,,,LR,宇宙に輝く命.png
大猿編,大猿パワー,,,UR,大猿編.png
殺し屋の極意 ヒット,力戦奮闘,,,UR,殺し屋の極意.png
ドラゴンボールファイターズ編,クロスオーバー,,,UR,ドラゴンボールファイターズ編.png
LR ふたりめの超サイヤ人 超サイヤ人トランクス(青年期),宇宙をわたる戦士,,,LR,ふたりめの超サイヤ人.png
絶望に立ち向かう力 超サイヤ人孫悟飯(未来),人造人間,,,UR,絶望に立ち向かう力.png
DBフュージョンズ編,クロスオーバー,,,UR,DBフュージョンズ編.png
DBフュージョンズ編2,フュージョン,,,UR,DBフュージョンズ編2.png
LR 希望の星 トランクス(幼年期)&孫悟天(幼年期),天才戦士,,,LR,超サイヤ人4ゴジータVS超一星龍.png
宿命のライバル編4,純粋サイヤ人,,,UR,宿命のライバル編4.png
超サイヤ人4ゴジータVS超一星龍,邪悪龍編,,,UR,超サイヤ人4ゴジータVS超一星龍.png
LR ふたつの力の融合 超サイヤ人孫悟空(天使)&超サイヤ人ベジータ(天使),融合/合体戦士,,,LR,ふたつの力の融合.png
LR 合体する超パワー 超サイヤ人孫悟空&超サイヤ人ベジータ,最後の切り札,,,LR,合体する超パワー.png
LR 宿命のライバル編5,超サイヤ人を超えた力,,,LR,宿命のライバル編5.png
誇りの遵守 超サイヤ人ゴッドSSベジータ,体得した進化,,,UR,誇りの遵守.png
LR ドッカンオールスター,,,,LR,ドッカンオールスター.png
爆発的な進化 ターレス,下級戦士,,,UR,爆発的な進化.png
潜在パワーのすべて アルティメット孫悟飯,魔人ブウ編,,,UR,潜在パワーのすべて.png
LR 死を呼ぶセルゲーム セル(完全体)&セルジュニア,託された意志,,,LR,死を呼ぶセルゲーム.png
帝王の真の輝き ゴールデンフリーザ(天使),正義の味方,,,UR,帝王の真の輝き.png
青き合体と薔薇色の超サイヤ人,未来編,,,UR,青き合体と薔薇色の超サイヤ人.png
LR 未来への希望と約束 トランクス(青年期)(未来)&マイ(未来),世界の混乱,,,LR,未来への希望と約束.png
LR 容赦なき断罪 ゴクウブラック(超サイヤ人ロゼ)&ザマス,命運をかけた闘い,,,LR,容赦なき断罪.png
希望を背負った一撃 超フルパワーサイヤ人4孫悟空,GT BOSS,,,UR,希望を背負った一撃.png
LR まだまだ続くアドベンチャー 孫悟空(GT)&パン(GT)&トランクス(GT),親友の絆,,,LR,まだまだ続くアドベンチャー.png
ヒロインコレクション編2,ピチピチギャル,,,UR,ヒロインコレクション編2.png
極限の怒り 孫悟空,フルパワー,,,UR,極限の怒り.png
LR 生き残りをかけた最終攻撃 フリーザ(フルパワー),ナメック星編,,,LR,生き残りをかけた最終攻撃.png
ビッグゲテスターとの融合 メタルクウラ,再起する力,,,UR,ビッグゲテスターとの融合.png
とびっきりの究極パワー クウラ,怒り爆発,,,UR,とびっきりの究極パワー.png
すべてをかけた拳 孫悟空(少年期),リベンジ,,,UR,すべてをかけた拳.png
サイヤ人の力の証明 超サイヤ人3バーダック,語り継がれし者,,,UR,サイヤ人の力の証明.png
LR 銀河ギリギリの侵略 フルパワーボージャック(銀河戦士),託された意志,,,LR,銀河ギリギリの侵略.png
全てを超えた最強の融合 超サイヤ人ゴジータ,劇場版BOSS,,,UR,全てを超えた最強の融合.png
戦闘民族の終わりなき進化 超サイヤ人ブロリー,劇場版HERO,,,UR,戦闘民族の終わりなき進化.png
神次元の闘い編,神次元,,,UR,神次元の戦い編.png
LR 目覚める真の力 超サイヤ人孫悟飯(少年期),人造人間/セル編,,,LR,目覚める真の力.png
LR 完全体の真価 セル(完全体),かめはめ波,,,LR,完全体の真価.png
LR よみがえる伝説 超サイヤ人ゴッド孫悟空,怒り爆発,,,LR,よみがえる伝説.png
無限の輝き 超ベジット,変身強化,,,UR,無限の輝き.png
驚異の吸収能力 魔人ブウ(悪),ポタラ,,,UR,驚異の吸収能力.png
LR 奇跡を起こす超サイヤ人 超サイヤ人孫悟空,ターゲット孫悟空,,,LR,奇跡を起こす超サイヤ人.png
とっておきの超パワー 超サイヤ人ゴッドSS孫悟空(界王拳),高速戦闘,,,UR,とっておきの超パワー.png
LR 究極最強の融合 ゴジータ,純粋サイヤ人,,,LR,究極最強の融合.png
LR 究極無敵の合体 ベジット,神次元,,,LR,究極無敵の合体.png
LR 破壊による世界調和 ビルス&ウイス,伝説の存在,,,LR,破壊による世界調和.png
死力を尽くしたサバイバル 人造人間17号,宇宙サバイバル編,,,UR,死力を尽くしたサバイバル.png
LR ふたりは全宇宙最強 超サイヤ人2カリフラ&超サイヤ人2ケール,第7宇宙代表,,,LR,ふたりは全宇宙最強.png
神と大魔王の融合 ピッコロ,力の吸収,,,UR,神と大魔王の融合.png
LR 奇跡を呼ぶ大激闘 超サイヤ人孫悟飯(青年期)&超サイヤ人孫悟天(幼年期),惑星破壊,,,LR,奇跡を呼ぶ大激闘.png
激情の破壊神 ビルス,願いの力,,,UR,激情の破壊神.png
GT編,GT HERO,,,UR,GT編.png
限りない戦闘力 超サイヤ人ベジータ,永遠の宿敵,,,UR,限りない戦闘力.png
ヒロインコレクション編3,ピチピチギャル,,,UR,ヒロインコレクション編3.png
LR 究極の邪悪生命体 スーパーベビー2（大猿ベビー),フルパワー,,,LR,究極の邪悪生命体.png
未来を守る強靭な意思 トランクス(青年期)(未来),時空を超えし者,,,UR,未来を守る強靭な意思.png
神の真の力 ザマス,命運をかけた闘い,,,UR,神の真の力.png
義勇の戦士 孫悟飯(未来),人造人間,,,UR,義勇の戦士.png
未来編,未来編,,,UR,未来編.png
気高き美しさの頂点 ゴクウブラック,孫悟空の系譜,,,UR,気高き美しさの頂点.png
LR 万物を裁く力の証明,ベジータの系譜,,,LR,万物を裁く力の証明.png
絶対的な強さ ジレン,奇跡の覚醒,,,UR,絶対的な強さ.png
LR 猛威を振るう凶悪サイヤ人 ナッパ/ベジータ,地球育ちの戦士,,,LR,猛威を振るう凶悪サイヤ人.png
LR 人造人間たちの旅 人造人間17号&18号/人造人間16号,人造人間,,,LR,人造人間たちの旅.png
標的抹殺の回路 人造人間13号,超サイヤ人,,,UR,標的抹殺の回路.png
LR 黄金色の拳 超サイヤ人3孫悟空,復活戦士,,,LR,黄金色の拳.png
