boss_name,categories,series,notes,rarity,image
最強の奥義 超サイヤ人3孫悟空,,,,UR,最強の奥義.png
破壊と殺戮の超戦士 伝説の超サイヤ人ブロリー,,,,UR,破壊と殺戮の超戦士.png
ナメック星編,,,,UR,ナメック星編.png
帝王の執念 フリーザ(フルパワー),,,,UR,帝王の執念.png
親子三大かめはめ波,,,,UR,親子三大かめはめ波.png
万物の凌駕 パーフェクトセル,,,,UR,万物の凌駕.png
究極パワー放出 アルティメット孫悟飯,,,,UR,究極パワー放出.png
ナメック星人としての闘い ピッコロ,,,,UR,ナメック星人としての闘い.png
心なき破壊衝動 魔人ブウ(純粋),,,,UR,心なき破壊衝動.png
振り下ろされた罰 ビルス,,,,UR,振り下ろされた罰.png
戦闘民族の真価 超サイヤ人3ベジータ,,,,UR,戦闘民族の真価.png
地獄の羅刹鬼 スーパージャネンバ,,,,UR,地獄の羅刹鬼.png
流刑のサイヤ人 ブロリー,,,,UR,流刑のサイヤ人.png
絶対無敵の戦士 超ゴジータ,,,,UR,絶対無敵の戦士.png
勇気の覚醒 超サイヤ人孫悟空Jr.,,,,UR,勇気の覚醒.png
サイヤを継承する少年 超サイヤ人ベジータJr.,,,,UR,サイヤを継承する少年.png
真の最強邪悪龍 超一星龍,,,,UR,真の最強邪悪龍.png
正義の死神大暴れ 超サイヤ人3ゴテンクス,,,,UR,正義の死神大暴れ.png
親子ギャリック砲,,,,UR,親子ギャリック砲.png
復讐の焔 ゴールデンフリーザ,,,,UR,復讐の焔.png
漆黒の脅威 ゴクウブラック,,,,UR,漆黒の脅威.png
恐怖の嵐 フリーザ(第二形態),,,,UR,恐怖の嵐.png
絶望へのカウントダウン 魔人ブウ(アルティメット悟飯吸収,,,,UR,絶望へのカウントダウン.png
終わりなき恐怖 伝説の超サイヤ人ブロリー,,,,UR,終わりなき恐怖.png
激闘編,,,,UR,激闘編.png
地獄へのいざない パーフェクトセル,,,,UR,地獄へのいざない.png
恐怖の復活 パーフェクトセル,,,,UR,恐怖の復活.png
進化を遂げた一撃 超サイヤ人ゴッドSS孫悟空,,,,UR,進化を遂げた一撃.png
絶望のマイナスエネルギー 超一星龍,,,,UR,絶望のマイナスエネルギー.png
比類なき黄金の気 超ベジット,,,,UR,比類なき黄金の気.png
絶対神の憤怒 合体ザマス,,,,UR,絶対神の憤怒.png
宿命のライバル編,,,,UR,宿命のライバル編.png
極まりしブルーの力 超サイヤ人ゴッドSSベジット,,,,UR,極まりしブルーの力.png
戦闘民族の熱き思い 超サイヤ人ゴッドSSベジータ,,,,UR,戦闘民族の熱き思い.png
希望と願いの剣 超サイヤ人トランクス(未来),,,,UR,希望と願いの剣.png
薔薇色に染まる超サイヤ人 ゴクウブラック(超サイヤ人ロゼ),,,,UR,薔薇色に染まる超サイヤ人.png
第6宇宙の女戦士編,,,,UR,第6宇宙の女戦士編.png
伝説を超えた進化形態 超サイヤ人3ブロリー,,,,UR,伝説を超えた進化形態.png
プライド・トルーパーズ,,,,UR,プライド・トルーパーズ.png
究極の人造人間 超17号,,,,UR,究極の人造人間.png
全てを超える魔人 魔人ブウ(純粋),,,,UR,全てを超える魔人.png
暗黒の仮面 仮面のサイヤ人,,,,UR,暗黒の意思.png
悪を砕く光 超ゴジータ,,,,UR,悪を砕く光.png
邪悪な侵犯 スーパージャネンバ,,,,UR,邪悪な侵犯.png
宿命のライバル編2,,,,UR,宿命のライバル編2.png
"超次元の極意 孫悟空(身勝手の極意""兆"")",,,,UR,超次元の極意.png
LR 奇跡の決着 孫悟空&フリーザ(最終形態)(天使),,,,LR,奇跡の決着.png
打倒超戦士編,,,,UR,打倒超戦士編.png
宇宙一の大暴走 超サイヤ人3ゴテンクス,,,,UR,宇宙一の大暴走.png
LR 不滅の最凶戦士 伝説の超サイヤ人ブロリー,,,,LR,不滅の最凶戦士.png
幻魔人が眠る身体 タピオン(ヒルデガーン),,,,UR,幻魔人が眠る身体.png
宿命のライバル編3,,,,UR,宿命のライバル編3.png
地獄の幕開け クウラ(最終形態),,,,UR,地獄の幕開け.png
LR 全身全霊のかめはめ波 超サイヤ人2孫悟飯(少年期),,,,LR,全身全霊のかめはめ波.png
驚異の超変身 超サイヤ人3孫悟空(天使),,,,UR,驚愕の超変身.png
凍てつく威光 フリーザ（第一形態),,,,UR,凍てつく威光.png
ヒロインコレクション編,,,,UR,ヒロインコレクション.png
LR 凄絶な光の彼方に 魔人ベジータ,,,,LR,凄絶な光の彼方に.png
熱く震える力 超サイヤ人孫悟空,,,,UR,熱く震える力.png
LR 宇宙に輝く命 バーダック,,,,LR,宇宙に輝く命.png
大猿編,,,,UR,大猿編.png
殺し屋の極意 ヒット,,,,UR,殺し屋の極意.png
ドラゴンボールファイターズ編,,,,UR,ドラゴンボールファイターズ編.png
LR ふたりめの超サイヤ人 超サイヤ人トランクス(青年期),,,,LR,ふたりめの超サイヤ人.png
絶望に立ち向かう力 超サイヤ人孫悟飯(未来),,,,UR,絶望に立ち向かう力.png
DBフュージョンズ編,,,,UR,DBフュージョンズ編.png
