boss_name,categories,series,notes,rarity,image,attributes
最強の奥義 超サイヤ人3孫悟空,復活戦士,,,UR,最強の奥義.png,極技|極知
破壊と殺戮の超戦士 伝説の超サイヤ人ブロリー,混血サイヤ人,,,UR,破壊と殺戮の超戦士.png,超速|超力
ナメック星編,ナメック星編,,,UR,ナメック星編.png,超力|極力
帝王の執念 フリーザ(フルパワー),ナメック星編,,,UR,帝王の執念.png,超力|超体|極力|極体
親子三大かめはめ波,劇場版BOSS,,,UR,親子三大かめはめ波.png,極速|極技
万物の凌駕 パーフェクトセル,未来編,,,UR,万物の凌駕.png,超知|超体
究極パワー放出 アルティメット孫悟飯,魔人ブウ編,,,UR,究極パワー放出.png,超体|極体
ナメック星人としての闘い ピッコロ,ナメック星人,,,UR,ナメック星人としての闘い.png,超速|超技|極速|極技
心なき破壊衝動 魔人ブウ(純粋),純粋サイヤ人,,,UR,心なき破壊衝動.png,超速|超力
振り下ろされた罰 ビルス,神次元,,,UR,振り下ろされた罰.png,超知|超体|極知|極体
戦闘民族の真価 超サイヤ人3ベジータ,超サイヤ人3,,,UR,戦闘民族の真価.png,超速|超技|超知|超力|超体
地獄の羅刹鬼 スーパージャネンバ,フュージョン,,,UR,地獄の羅刹鬼.png,超力|超体
流刑のサイヤ人 ブロリー,劇場版HERO,,,UR,流刑のサイヤ人.png,超速|超技
絶対無敵の戦士 超ゴジータ,劇場版BOSS,,,UR,絶対無敵の戦士.png,極速|極知
勇気の覚醒 超サイヤ人孫悟空Jr.,ベジータの系譜,,,UR,勇気の覚醒.png,超速|超知|超体|極速|極知|極体
サイヤを継承する少年 超サイヤ人ベジータJr.,孫悟空の系譜,,,UR,サイヤを継承する少年.png,超技|超力|超体|極技|極力|極体
真の最強邪悪龍 超一星龍,,,,UR,真の最強邪悪龍.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
正義の死神大暴れ 超サイヤ人3ゴテンクス,少年・少女,,,UR,正義の死神大暴れ.png,超知|超体
親子ギャリック砲,神次元,,,UR,親子ギャリック砲.png,超知|超力|極速|極知|極力
復讐の焔 ゴールデンフリーザ,最凶の一族,,,UR,復讐の焔.png,極速|極技|極知|極力|極体
漆黒の脅威 ゴクウブラック,孫悟空の系譜,,,UR,漆黒の脅威.png,超力
恐怖の嵐 フリーザ(第二形態),ナメック星人,,,UR,恐怖の嵐.png,超速|超技|超力|極速|極技|極力
絶望へのカウントダウン 魔人ブウ(アルティメット悟飯吸収,ポタラ,,,UR,絶望へのカウントダウン.png,超速|超知|超体
終わりなき恐怖 伝説の超サイヤ人ブロリー,混血サイヤ人,,,UR,終わりなき恐怖.png,超技|超力
激闘編,ギニュー特戦隊,,,UR,激闘編.png,極速|極技|極知|極力|極体
地獄へのいざない パーフェクトセル,未来編,,,UR,地獄へのいざない.png,超速|超技
恐怖の復活 パーフェクトセル,人造人間/セル編,,,UR,恐怖の復活.png,超速|超技|超知|超力|超体|極速|極技|極知|極力|極体
進化を遂げた一撃 超サイヤ人ゴッドSS孫悟空,第6宇宙,,,UR,進化を遂げた一撃.png,超技|超知|超力|超体|極技|極知|極力|極体
絶望のマイナスエネルギー 超一星龍,かめはめ波,,,UR,絶望のマイナスエネルギー.png,超速
比類なき黄金の気 超ベジット,変身強化,,,UR,比類なき黄金の気.png,超速|極技|極力|極体
絶対神の憤怒 合体ザマス,好敵手,,,UR,絶対神の憤怒.png,超知|超体
宿命のライバル編,超サイヤ人2,,,UR,宿命のライバル編.png,超速|超技|超知|超力|極速|極技|極知|極力
極まりしブルーの力 超サイヤ人ゴッドSSベジット,時空を超えし者,,,UR,極まりしブルーの力.png,極技|極知|極力
戦闘民族の熱き思い 超サイヤ人ゴッドSSベジータ,指定の絆,,,UR,戦闘民族の熱き思い.png,超体|極速|極体
希望と願いの剣 超サイヤ人トランクス(未来),怒り爆発,,,UR,希望と願いの剣.png,超知|超体|極知|極体
薔薇色に染まる超サイヤ人 ゴクウブラック(超サイヤ人ロゼ),ベジータの系譜,,,UR,薔薇色に染まる超サイヤ人.png,超技|超力|超体
第6宇宙の女戦士編,第7宇宙代表,,,UR,第6宇宙の女戦士編.png,超速|超技|超知|超力|超体
伝説を超えた進化形態 超サイヤ人3ブロリー,兄弟の絆,,,UR,伝説を超えた進化形態.png,超技|超知
